JJRB_MID
কনীয়ান
লঘিষ্ঠ
লঘিষ্ঠ
জ্যেষ্ঠ
শ্রেষ্ঠ
শ্রেষ্ঠ
শ্রেষ্ঠতম
বলবান
অধিকতর
অধিক
বেশী
অনেক
