PR
স্বয়ং
নিজ
খোদ
আপনি
এ
এই
এরা
ইহারা
ইনি
ঐ
ঐসব
সব
সব
সকল
সমুদয়
তাবৎ
কে
কি
কী
কোন
কাহার
কার
কিসে
কোন
কেহ
কেউ
কিছু
আপনা আপনি
নিজে নিজে
আপসে
পরস্পর
যে
যিনি
যাঁরা
যাহারা
অন্য
অপর
পর
আমি
আমরা
আমাকে
আমাদের
তুমি
তোমরা
তোমাকে
তোমাদের
তোমাদিগকে
আপনি
আপনার
আপনাদের
সে
তারা
তাহারা
তাদের
তাহাকে
তিনি
তাঁকে
তাঁরা
তাঁদের
