JJRB_LOW
অনেক
প্রচুর
আস্তে
খুব
চেয়ে
গুরুতর
গুরুতম
দীর্ঘতর
দীর্ঘতম
লঘীয়ান
অতিশয়
সামান্য
প্রায়
